Tarih,TLREF,Unnamed: 2
19.08.2025,42.6854,
18.08.2025,42.6618,
15.08.2025,42.6563,
14.08.2025,42.6497,
13.08.2025,42.6374,
12.08.2025,42.6699,
11.08.2025,42.6777,
08.08.2025,42.7902,
07.08.2025,42.8025,
06.08.2025,42.7983,
05.08.2025,42.7141,
04.08.2025,42.6886,
01.08.2025,42.6848,
31.07.2025,42.6511,
30.07.2025,42.6627,
29.07.2025,42.6454,
28.07.2025,42.6501,
25.07.2025,42.8411,
24.07.2025,45.6951,
23.07.2025,45.6598,
22.07.2025,45.5746,
21.07.2025,45.6088,
18.07.2025,45.5817,
17.07.2025,45.7049,
16.07.2025,45.6042,
14.07.2025,45.5165,
11.07.2025,45.5643,
10.07.2025,45.8741,
09.07.2025,45.9481,
08.07.2025,46.0152,
07.07.2025,46.57,
04.07.2025,46.845,
03.07.2025,46.1572,
02.07.2025,45.946,
01.07.2025,45.8966,
30.06.2025,46.9709,
27.06.2025,46.6851,
26.06.2025,46.7095,
25.06.2025,48.3955,
24.06.2025,46.557,
23.06.2025,46.4464,
20.06.2025,46.3988,
19.06.2025,47.0344,
18.06.2025,46.1835,
17.06.2025,46.1156,
16.06.2025,46.3382,
13.06.2025,47.1258,
12.06.2025,48.5428,
11.06.2025,48.9922,
10.06.2025,48.9928,
05.06.2025,48.9962,
04.06.2025,48.997,
03.06.2025,48.9946,
02.06.2025,48.9942,
30.05.2025,48.994,
29.05.2025,48.9946,
28.05.2025,48.9934,
27.05.2025,48.9932,
26.05.2025,48.9883,
23.05.2025,48.8996,
22.05.2025,45.795,
21.05.2025,48.6186,
20.05.2025,48.8789,
16.05.2025,48.9778,
15.05.2025,48.9904,
14.05.2025,48.9921,
